Date;Open;High;Low;Close*;Adj Close**;Volume
22/02/2022;91.75;96.00;90.35;92.35;92.35;789,041
18/02/2022;91.63;92.66;89.03;91.07;91.07;150,382
17/02/2022;90.90;93.36;90.62;91.76;91.76;212,552
16/02/2022;92.21;95.01;90.00;93.66;93.66;401,453
15/02/2022;94.83;95.17;90.66;92.07;92.07;442,641
14/02/2022;93.91;95.82;92.09;95.46;95.46;467,071
11/02/2022;90.00;94.66;89.19;93.10;93.10;554,423
10/02/2022;90.01;91.74;89.03;89.88;89.88;492,091
09/02/2022;89.86;90.58;88.41;89.66;89.66;445,618
08/02/2022;91.64;91.68;88.51;89.36;89.36;467,386
07/02/2022;91.82;92.73;90.73;91.32;91.32;497,754
04/02/2022;90.19;93.17;90.07;92.31;92.31;410,926
03/02/2022;87.98;90.45;86.75;90.27;90.27;465,771
02/02/2022;88.35;89.72;87.10;88.26;88.26;456,863
01/02/2022;88.15;88.87;86.55;88.20;88.20;376,841
31/01/2022;87.45;88.39;86.34;88.15;88.15;359,080
28/01/2022;87.50;88.84;86.44;86.82;86.82;436,172
27/01/2022;87.15;88.54;86.20;86.61;86.61;427,804
26/01/2022;85.26;87.95;85.01;87.35;87.35;459,642
25/01/2022;84.15;85.71;82.99;85.60;85.60;507,219
24/01/2022;84.91;86.09;81.90;83.31;83.31;511,695
21/01/2022;84.57;85.56;82.78;85.14;85.14;509,103
20/01/2022;86.23;87.82;86.00;86.90;86.90;532,202
19/01/2022;86.61;87.91;85.77;86.96;86.96;113,153
18/01/2022;84.32;86.63;83.50;85.43;85.43;163,643
14/01/2022;81.73;84.45;81.58;83.82;83.82;364,442
13/01/2022;82.82;82.94;81.39;82.12;82.12;364,769
12/01/2022;81.38;83.10;81.17;82.64;82.64;420,619
11/01/2022;78.42;81.59;78.36;81.22;81.22;481,815
10/01/2022;78.88;79.45;77.83;78.23;78.23;389,956
07/01/2022;79.62;80.47;78.52;78.90;78.90;414,434
06/01/2022;77.24;80.24;76.73;79.46;79.46;476,665
05/01/2022;77.18;78.58;76.51;77.85;77.85;397,898
04/01/2022;76.02;77.64;75.70;76.99;76.99;372,848
03/01/2022;75.69;76.46;74.27;76.08;76.08;317,628
31/12/2021;76.66;77.08;74.95;75.21;75.21;237,118
30/12/2021;76.58;77.44;75.78;76.99;76.99;231,163
29/12/2021;76.04;77.37;75.36;76.56;76.56;283,557
28/12/2021;75.97;76.92;75.53;75.98;75.98;249,728
27/12/2021;73.38;76.09;72.57;75.57;75.57;268,490
23/12/2021;73.03;73.95;72.27;73.79;73.79;270,223
22/12/2021;71.27;73.16;70.80;72.76;72.76;306,709
21/12/2021;69.21;71.55;68.56;71.12;71.12;358,779
20/12/2021;70.07;70.07;66.04;68.23;68.23;492,217
17/12/2021;71.92;72.26;69.89;70.86;70.86;78,125
16/12/2021;71.48;72.99;71.03;72.38;72.38;142,541
15/12/2021;70.35;71.66;69.39;70.87;70.87;294,337
